descriptors,diet_habitat,coastal_Y/N/M,notes
Azure-hooded,,,
Azure-rumped,,,
Azure-shouldered,,,
Azure-winged,,,
Bachman's,,,
Baglafecht,,,
Baillon's,,,
Baird's,,,
Bald,,,
Baltimore,,,
Band-backed,,,
Band-rumped,,,
Band-tailed,,,
Band-winged,,,
Banded,,,
Bar-bellied,,,
Bar-breasted,,,
Bar-crested,,,
Bar-headed,,,
Bar-shouldered,,,
Bar-tailed,,,
Bar-throated,,,
Bar-winged,,,
Bare-faced,,,
Bare-necked,,,
Bare-throated,,,
Barking,,,
Barred,,,
Barren,,,
Barrow's,,,
Basra,,,
Bassian,,,
Bay-backed,,,
Bay-breasted,,,
Bay-headed,,,
Baya,,,
Bean,,,
Bearded,,,
Beardless,,,
Beautiful,,,
Bee,,,
Beijing,,,
Belcher's,,,
Bell,,,
Bell's,,,
Belted,,,
Bendire's,,,
Bengal,,,
Berthelot's,,,
Beryl-spangled,,,
Berylline,,,
Bewick's,,,
Bicknell's,,,
Bicolored,,,
Black,,,
Black-and-chestnut,,,
Black-and-crimson,,,
Black-and-rufous,,,
Black-and-white,,,
Black-and-white-casqued,,,
Black-and-yellow,,,
Black-backed,,,
Black-bellied,,,
Black-billed,,,
Black-bodied,,,
Black-breasted,,,
Black-browed,,,
Black-capped,,,
Black-cheeked,,,
Black-chested,,,
Black-chinned,,,
Black-collared,,,
Black-cowled,,,
Black-crested,,,
Black-crowned,,,
Black-eared,,,
Black-faced,,,
Black-fronted,,,
Black-goggled,,,
Black-headed,,,
Black-hooded,,,
Black-legged,,,
Black-lored,,,
Black-naped,,,
Black-necked,,,
Black-necklaced,,,
Black-polled,,,
Black-rumped,,,
Black-shouldered,,,
Black-sided,,,
Black-spotted,,,
Black-striped,,,
Black-tailed,,,
Black-throated,,,
Black-vented,,,
Black-whiskered,,,
Black-winged,,,
Blackburnian,,,
Blackish,,,
Blackpoll,,,
Blacksmith,,,
Blas,,,
Blond-crested,,,
Blood-colored,,,
Blue,,,
Blue-and-black,,,
Blue-and-white,,,
Blue-and-yellow,,,
Blue-backed,,,
Blue-banded,,,
Blue-bearded,,,
Blue-billed,,,
Blue-black,,,
Blue-breasted,,,
Blue-capped,,,
Blue-cheeked,,,
Blue-chested,,,
Blue-crowned,,,
Blue-eared,,,
Blue-faced,,,
Blue-footed,,,
Blue-gray,,,
Blue-headed,,,
Blue-mantled,,,
Blue-naped,,,
Blue-necked,,,
Blue-rumped,,,
Blue-spotted,,,
Blue-tailed,,,
Blue-throated,,,
Blue-tufted,,,
Blue-vented,,,
Blue-winged,,,
Bluish,,,
Bluish-fronted,,,
Bluish-gray,,,
Bluish-slate,,,
Blyth's,,,
Boat-billed,,,
Boat-tailed,,,
Bogota,,,
Bohemian,,,
Bold-striped,,,
Bolivian,,,
Bonaparte's,,,
Bonelli's,,,
Booted,,,
Bornean,,,
Botteri's,,,
Boucard's,,,
Bower's,,,
Bracken,,,
Brahminy,,,
Bran-colored,,,
Brandt's,,,
Brassy-breasted,,,
Brazilian,,,
Brewer's,,,
Bridled,,,
Bright-rumped,,,
Brimstone,,,
Bristle-thighed,,,
Broad-billed,,,
Broad-tailed,,,
Broad-winged,,,
Bronze,,,
Bronze-tailed,,,
Bronze-winged,,,
Bronzed,,,
Bronzy,,,
Brown,,,
Brown-and-yellow,,,
Brown-backed,,,
Brown-bellied,,,
Brown-billed,,,
Brown-breasted,,,
Brown-capped,,,
Brown-cheeked,,,
Brown-chested,,,
Brown-crested,,,
Brown-crowned,,,
Brown-eared,,,
Brown-headed,,,
Brown-hooded,,,
Brown-necked,,,
Brown-rumped,,,
Brown-throated,,,
Brownish-flanked,,,
Bruce's,,,
Buff-banded,,,
Buff-bellied,,,
Buff-breasted,,,
Buff-browed,,,
Buff-cheeked,,,
Buff-collared,,,
Buff-fronted,,,
Buff-necked,,,
Buff-rumped,,,
Buff-tailed,,,
Buff-throated,,,
Buff-winged,,,
Buffy,,,
Buffy-crowned,,,
Bull-headed,,,
Buller's,,,
Bullock's,,,
Bulwer's,,,
Bumblebee,,,
Burnished-buff,,,
Burrowing,,,
Bushy-crested,,,
Buzzard,,,
Caatinga,,,
Cabanis's,,,
Cackling,,,
Caica,,,
Calandra,,,
California,,,
Calliope,,,
Campo,,,
Canada,,,
Canary,,,
Canivet's,,,
Capped,,,
Caqueta,,,
Caracas,,,
Cardinal,,,
Carmiol's,,,
Carolina,,,
Cassin's,,,
Ceara,,,
Cerulean,,,
Cetti's,,,
Chabert,,,
Chaco,,,
Chalk-browed,,,
Changeable,,,
Channel-billed,,,
Chat,,,
Checker-throated,,,
Checkered,,,
Chestnut,,,
Chestnut-backed,,,
Chestnut-bellied,,,
Chestnut-breasted,,,
Chestnut-capped,,,
Chestnut-cheeked,,,
Chestnut-collared,,,
Chestnut-crested,,,
Chestnut-crowned,,,
Chestnut-eared,,,
Chestnut-fronted,,,
Chestnut-headed,,,
Chestnut-hooded,,,
Chestnut-rumped,,,
Chestnut-sided,,,
Chestnut-tailed,,,
Chestnut-throated,,,
Chestnut-vented,,,
Chestnut-winged,,,
Chiguanco,,,
Chihuahuan,,,
Chilean,,,
Chiloe,,,
Chinese,,,
Chinspot,,,
Chipping,,,
Chivi,,,
Choco,,,
Chopi,,,
Chorister,,,
Chotoy,,,
Chucao,,,
Cinereous,,,
Cinnamon,,,
Cinnamon-bellied,,,
Cinnamon-breasted,,,
Cinnamon-chested,,,
Cinnamon-rumped,,,
Cirl,,,
Citreoline,,,
Citril,,,
Citrine,,,
Citron-bellied,,,
Clamorous,,,
Clapper,,,
Clark's,,,
Claudia's,,,
Clay-colored,,,
Coal,,,
Cobalt-rumped,,,
Cobalt-winged,,,
Cocoa,,,
Cocoi,,,
Colima,,,
Collared,,,
Colombian,,,
Comb,,,
Comb-crested,,,
Common,,,
Connecticut,,,
Cook's,,,
Cooper's,,,
Copper,,,
Copper-rumped,,,
Copper-throated,,,
Coppersmith,,,
Coppery-bellied,,,
Coraya,,,
Cordilleran,,,
Cordoba,,,
Correndera,,,
Corsican,,,
Cory's,,,
Coscoroba,,,
Costa's,,,
Cotton,,,
Couch's,,,
Crag,,,
Crane,,,
Cream-backed,,,
Cream-colored,,,
Cream-vented,,,
Cream-winged,,,
Creamy-bellied,,,
Creamy-crested,,,
Creamy-rumped,,,
Crescent,,,
Crescent-chested,,,
Crested,,,
Cretzschmar's,,,
Crimson,,,
Crimson-backed,,,
Crimson-breasted,,,
Crimson-collared,,,
Crimson-crested,,,
Crimson-fronted,,,
Crimson-headed,,,
Crimson-mantled,,,
Crimson-rumped,,,
Crissal,,,
Croaking,,,
Crow-billed,,,
Crowned,,,
Cryptic,,,
Cuban,,,
Cuckoo,,,
Curl-crested,,,
Curlew,,,
Curve-billed,,,
Cuzco,,,
Cyprus,,,
D'Arnaud's,,,
d'Orbigny's,,,
Dark,,,
Dark-bellied,,,
Dark-billed,,,
Dark-breasted,,,
Dark-eyed,,,
Dark-faced,,,
Dark-fronted,,,
Dark-necked,,,
Dark-sided,,,
Dartford,,,
Daurian,,,
David's,,,
Deep-blue,,,
Des,,,
Diademed,,,
Diamond,,,
Dideric,,,
Dinelli's,,,
Diuca,,,
Dot-winged,,,
Double-banded,,,
Double-barred,,,
Double-collared,,,
Double-crested,,,
Double-striped,,,
Double-toothed,,,
Downy,,,
Drab,,,
Drab-breasted,,,
Drakensberg,,,
Drongo,,,
Dull-colored,,,
Dull-mantled,,,
Dusky,,,
Dusky-capped,,,
Dusky-cheeked,,,
Dusky-faced,,,
Dusky-green,,,
Dusky-headed,,,
Dusky-legged,,,
Dusky-tailed,,,
Dwarf,,,
Eagle,,,
Eared,,,
Eastern,,,
Ecuadorian,,,
Egyptian,,,
Elegant,,,
Elf,,,
Emerald,,,
Emerald-chinned,,,
Emerald-spotted,,,
Epaulet,,,
Erckel's,,,
Ethiopian,,,
Euler's,,,
Eurasian,,,
European,,,
Evening,,,
Eye-ringed,,,
Eyebrowed,,,
Fairy,,,
Falcated,,,
Familiar,,,
Fan-tailed,,,
Far,,,
Fasciated,,,
Fawn-breasted,,,
Ferruginous,,,
Festive,,,
Fiery-capped,,,
Fine-barred,,,
Finsch's,,,
Fire,,,
Fire-breasted,,,
Fire-eyed,,,
Fire-fronted,,,
Fiscal,,,
Fischer's,,,
Flame,,,
Flame-colored,,,
Flame-crested,,,
Flame-faced,,,
Flame-fronted,,,
Flame-rumped,,,
Flame-throated,,,
Flaming,,,
Flammulated,,,
Flavescent,,,
Flightless,,,
Florida,,,
Fluttering,,,
Flycatcher,,,
Flying,,,
Foliage,,,
Forbes-Watson's,,,
Fork-tailed,,,
Forster's,,,
Forty-spotted,,,
Fox,,,
Franklin's,,,
Freckle-breasted,,,
Freckled,,,
Fruit,,,
Fulvous,,,
Fulvous-breasted,,,
Fulvous-crested,,,
Fulvous-faced,,,
Fulvous-headed,,,
Fulvous-vented,,,
Fuscous,,,
Gambel's,,,
Gang-gang,,,
Garnet-throated,,,
Gartered,,,
Geoffroy's,,,
Germain's,,,
Giant,,,
Gila,,,
Gilbert's,,,
Gilded,,,
Gilt-edged,,,
Glaucous,,,
Glaucous-blue,,,
Glaucous-winged,,,
Glittering-bellied,,,
Glittering-throated,,,
Glossy,,,
Glossy-black,,,
Glowing,,,
Godlewski's,,,
Goeldi's,,,
Gold-whiskered,,,
Golden,,,
Golden-backed,,,
Golden-bellied,,,
Golden-billed,,,
Golden-breasted,,,
Golden-browed,,,
Golden-capped,,,
Golden-cheeked,,,
Golden-chevroned,,,
Golden-collared,,,
Golden-crowned,,,
Golden-eared,,,
Golden-faced,,,
Golden-fronted,,,
Golden-green,,,
Golden-headed,,,
Golden-hooded,,,
Golden-naped,,,
Golden-olive,,,
Golden-rumped,,,
Golden-shouldered,,,
Golden-tailed,,,
Golden-winged,,,
Goliath,,,
Gorgeted,,,
Gould's,,,
Grace's,,,
Graceful,,,
Grass-green,,,
Gray,,,
Gray-and-gold,,,
Gray-and-white,,,
Gray-backed,,,
Gray-barred,,,
Gray-bellied,,,
Gray-breasted,,,
Gray-browed,,,
Gray-capped,,,
Gray-cheeked,,,
Gray-chested,,,
Gray-chinned,,,
Gray-collared,,,
Gray-cowled,,,
Gray-crowned,,,
Gray-faced,,,
Gray-flanked,,,
Gray-fronted,,,
Gray-headed,,,
Gray-hooded,,,
Gray-lined,,,
Gray-mantled,,,
Gray-necked,,,
Gray-rumped,,,
Gray-streaked,,,
Gray-tailed,,,
Gray-throated,,,
Grayish,,,
Graylag,,,
Great,,,
Great-billed,,,
Great-tailed,,,
Greater,,,
Green,,,
Green-and-black,,,
Green-and-gold,,,
Green-and-white,,,
Green-backed,,,
Green-barred,,,
Green-bearded,,,
Green-bellied,,,
Green-billed,,,
Green-breasted,,,
Green-cheeked,,,
Green-crowned,,,
Green-headed,,,
Green-rumped,,,
Green-striped,,,
Green-tailed,,,
Green-throated,,,
Green-winged,,,
Greenish,,,
Groove-billed,,,
Grosbeak,,,
Guanay,,,
Guatemalan,,,
Guayaquil,,,
Guianan,,,
Guira,,,
Gull-billed,,,
Guttulate,,,
Hadada,,,
Hainan,,,
Hair-crested,,,
Hairy,,,
Half-collared,,,
Hammond's,,,
Hanging,,,
Hangnest,,,
Happy,,,
Harlequin,,,
Harrier,,,
Harris's,,,
Hartert's,,,
Hartlaub's,,,
Hasselt's,,,
Hauxwell's,,,
Hawk,,,
Hazel,,,
Heart-spotted,,,
Heermann's,,,
Helmeted,,,
Hen,,,
Henslow's,,,
Hepatic,,,
Hermit,,,
Heuglin's,,,
Hildebrandt's,,,
Hispaniolan,,,
Hoary,,,
Hoary-headed,,,
Hodgson's,,,
Hoffmann's,,,
Holland,,,
Holub's,,,
Hooded,,,
Hook-billed,,,
Horned,,,
Horsfield's,,,
Hudsonian,,,
Huet,,,
Humboldt,,,
Hume's,,,
Hunter's,,,
Hutton's,,,
Iberian,,,
Iceland,,,
Icterine,,,
Imperial,,,
Inca,,,
Indian,,,
Indigo,,,
Indigo-banded,,,
Indigo-capped,,,
Indochinese,,,
Intermediate,,,
Isabelline,,,
Isthmian,,,
Italian,,,
Ivory-billed,,,
Jack,,,
Jackal,,,
Jamaican,,,
Jambu,,,
Jameson's,,,
Japanese,,,
Java,,,
Javan,,,
Jerdon's,,,
Jet,,,
Junin,,,
Karoo,,,
Keel-billed,,,
Kentish,,,
Kentucky,,,
Kenya,,,
Kikuyu,,,
King,,,
Kittlitz's,,,
Klaas's,,,
Klages's,,,
Knob-billed,,,
Knysna,,,
Krüper's,,,
Kurdish,,,
Kurrichane,,,
La,,,
Laced,,,
Ladder-backed,,,
Lance-tailed,,,
Lanceolated,,,
Lapland,,,
Large,,,
Large-billed,,,
Large-tailed,,,
Lark,,,
Lark-like,,,
Latham's,,,
Laughing,,,
Lawrence's,,,
Laysan,,,
Lazuli,,,
Leaden,,,
Least,,,
LeConte's,,,
Lemon-bellied,,,
Lemon-browed,,,
Lemon-throated,,,
Lesser,,,
Lesson's,,,
Lettered,,,
Levaillant's,,,
Levant,,,
Lewin's,,,
Lewis's,,,
Light-vented,,,
Lilac-breasted,,,
Lilac-crowned,,,
Lilac-tailed,,,
Lincoln's,,,
Lineated,,,
Lined,,,
Little,,,
Lizard,,,
Loggerhead,,,
Long-billed,,,
Long-crested,,,
Long-eared,,,
Long-legged,,,
Long-tailed,,,
Long-toed,,,
Long-winged,,,
Loten's,,,
Louisiana,,,
Lovely,,,
Lucifer,,,
Lucy's,,,
Luzon,,,
Lyre-tailed,,,
Maccoa,,,
MacGillivray's,,,
Macleay's,,,
Madagascar,,,
Madre,,,
Magellanic,,,
Magnificent,,,
Magpie,,,
Maguari,,,
Malabar,,,
Malachite,,,
Malagasy,,,
Malayan,,,
Malaysian,,,
Manchurian,,,
Mandarin,,,
Maned,,,
Manu,,,
Manx,,,
Many-banded,,,
Many-colored,,,
Many-spotted,,,
Many-striped,,,
Marabou,,,
Maracaibo,,,
Marbled,,,
Marcapata,,,
Mariana,,,
Mariqua,,,
Marmora's,,,
Maroon,,,
Maroon-bellied,,,
Maroon-tailed,,,
Mascarene,,,
Masked,,,
May,,,
Mealy,,,
Meller's,,,
Melodious,,,
Menetries's,,,
Metallic,,,
Metallic-green,,,
Meves's,,,
Mexican,,,
Meyer's,,,
Middendorff's,,,
Middle,,,
Mikado,,,
Military,,,
Milky,,,
Mississippi,,,
Mistle,,,
Mitred,,,
Monk,,,
Montagu's,,,
Montezuma,,,
Morelet's,,,
Morning,,,
Morrison's,,,
Mottle-backed,,,
Mottle-cheeked,,,
Mottled,,,
Mourning,,,
Mouse-colored,,,
Moussier's,,,
Moustached,,,
Mugimaki,,,
Muisca,,,
Mulga,,,
Murs's,,,
Muscovy,,,
Musk,,,
Mute,,,
Nacunda,,,
Namaqua,,,
Nanday,,,
Nankeen,,,
Narcissus,,,
Narrow-billed,,,
Nashville,,,
Natal,,,
Naumann's,,,
Necklaced,,,
Nelicourvi,,,
Nelson's,,,
Neotropic,,,
New,,,
Nicaraguan,,,
Night,,,
Nightingale,,,
Nilgiri,,,
Noble,,,
Noisy,,,
Nordmann's,,,
North,,,
Northern,,,
Northwestern,,,
Nubian,,,
Nuttall's,,,
Nutting's,,,
Nyanza,,,
Oahu,,,
Ocellated,,,
Ochraceous,,,
Ochre-backed,,,
Ochre-bellied,,,
Ochre-breasted,,,
Ochre-collared,,,
Ochre-faced,,,
Ochre-flanked,,,
Ochre-naped,,,
Okinawa,,,
Oleaginous,,,
Olivaceous,,,
Olive,,,
Olive-backed,,,
Olive-bellied,,,
Olive-crowned,,,
Olive-gray,,,
Olive-green,,,
Olive-sided,,,
Olive-spotted,,,
Olive-throated,,,
Olive-tree,,,
Olive-winged,,,
Olrog's,,,
One-colored,,,
Orange,,,
Orange-backed,,,
Orange-bellied,,,
Orange-billed,,,
Orange-breasted,,,
Orange-cheeked,,,
Orange-chinned,,,
Orange-crowned,,,
Orange-eared,,,
Orange-eyed,,,
Orange-footed,,,
Orange-fronted,,,
Orange-headed,,,
Orange-throated,,,
Orange-winged,,,
Oriental,,,
Orinocan,,,
Oriole,,,
Ornate,,,
Orphean,,,
Ortolan,,,
Ovambo,,,
Owlet,,,
Painted,,,
Palawan,,,
Pale,,,
Pale-bellied,,,
Pale-billed,,,
Pale-breasted,,,
Pale-browed,,,
Pale-crested,,,
Pale-edged,,,
Pale-eyed,,,
Pale-headed,,,
Pale-legged,,,
Pale-naped,,,
Pale-vented,,,
Pale-yellow,,,
Palestine,,,
Pallas's,,,
Pallid,,,
Panama,,,
Pantanal,,,
Paperbark,,,
Papuan,,,
Paradise,,,
Parasitic,,,
Parkinson's,,,
Parodi's,,,
Parrot,,,
Parrot-billed,,,
Patagonian,,,
Peaceful,,,
Peach-fronted,,,
Pearl,,,
Pearl-breasted,,,
Pearled,,,
Pearly-vented,,,
Pechora,,,
Pectoral,,,
Penan,,,
Penduline,,,
Pere,,,
Peregrine,,,
Persian,,,
Peruvian,,,
Pheasant,,,
Pheasant-tailed,,,
Philadelphia,,,
Philippine,,,
Picazuro,,,
Picui,,,
Pied,,,
Pied-billed,,,
Pied-crested,,,
Pigeon,,,
Pileated,,,
Pin-striped,,,
Pin-tailed,,,
Pink,,,
Pink-backed,,,
Pink-eared,,,
Pink-footed,,,
Pink-headed,,,
Pink-necked,,,
Pinnated,,,
Piping,,,
Piratic,,,
Plain-backed,,,
Plain-bellied,,,
Plain-breasted,,,
Plain-brown,,,
Plain-capped,,,
Plain-colored,,,
Plain-crested,,,
Plain-crowned,,,
Plain-mantled,,,
Plain-winged,,,
Plaintive,,,
Planalto,,,
Plum-headed,,,
Plumbeous,,,
Plumbeous-backed,,,
Plumed,,,
Plush-crested,,,
Point-tailed,,,
Pomarine,,,
Pompadour,,,
Powerful,,,
Prothonotary,,,
Puff-throated,,,
Purple,,,
Purple-backed,,,
Purple-collared,,,
Purple-crested,,,
Purple-crowned,,,
Purple-rumped,,,
Purple-throated,,,
Purplish,,,
Pygmy,,,
Quail,,,
Racket-tailed,,,
Racquet,,,
Radde's,,,
Radjah,,,
Rainbow,,,
Rameron,,,
Rattling,,,
Red,,,
Red-and-green,,,
Red-and-white,,,
Red-backed,,,
Red-bellied,,,
Red-billed,,,
Red-breasted,,,
Red-browed,,,
Red-capped,,,
Red-cheeked,,,
Red-chested,,,
Red-cockaded,,,
Red-collared,,,
Red-cowled,,,
Red-crested,,,
Red-crowned,,,
Red-eared,,,
Red-eyed,,,
Red-faced,,,
Red-fan,,,
Red-flanked,,,
Red-footed,,,
Red-fronted,,,
Red-gartered,,,
Red-headed,,,
Red-keeled,,,
Red-kneed,,,
Red-knobbed,,,
Red-legged,,,
Red-lored,,,
Red-masked,,,
Red-naped,,,
Red-necked,,,
Red-ruffed,,,
Red-rumped,,,
Red-shouldered,,,
Red-tailed,,,
Red-throated,,,
Red-vented,,,
Red-wattled,,,
Red-whiskered,,,
Red-winged,,,
Reddish,,,
Regent,,,
Reichenow's,,,
Resplendent,,,
Restless,,,
Rhinoceros,,,
Richard's,,,
Ridgway's,,,
Ring,,,
Ring-billed,,,
Ring-necked,,,
Ring-tailed,,,
Ringed,,,
Rivoli's,,,
Robin,,,
Robust,,,
Rose,,,
Rose-breasted,,,
Rose-crowned,,,
Rose-ringed,,,
Rose-throated,,,
Roseate,,,
Ross's,,,
Rosy,,,
Rosy-billed,,,
Rosy-faced,,,
Rouget's,,,
Rough-legged,,,
Rough-winged,,,
Royal,,,
Ruby-crowned,,,
Ruby-throated,,,
Ruby-topaz,,,
Ruddy,,,
Ruddy-breasted,,,
Ruddy-capped,,,
Ruddy-headed,,,
Ruddy-tailed,,,
Rufescent,,,
Ruffed,,,
Rufous,,,
Rufous-and-white,,,
Rufous-backed,,,
Rufous-banded,,,
Rufous-bellied,,,
Rufous-breasted,,,
Rufous-browed,,,
Rufous-capped,,,
Rufous-chested,,,
Rufous-collared,,,
Rufous-crested,,,
Rufous-crowned,,,
Rufous-faced,,,
Rufous-fronted,,,
Rufous-headed,,,
Rufous-legged,,,
Rufous-margined,,,
Rufous-naped,,,
Rufous-necked,,,
Rufous-shafted,,,
Rufous-sided,,,
Rufous-tailed,,,
Rufous-throated,,,
Rufous-vented,,,
Rufous-webbed,,,
Rufous-winged,,,
Rüppell's,,,
Russet,,,
Russet-backed,,,
Russet-crowned,,,
Russet-naped,,,
Russet-tailed,,,
Russet-throated,,,
Russet-winged,,,
Rust-and-yellow,,,
Rustic,,,
Rusty,,,
Rusty-backed,,,
Rusty-bellied,,,
Rusty-belted,,,
Rusty-breasted,,,
Rusty-collared,,,
Rusty-crowned,,,
Rusty-fronted,,,
Rusty-margined,,,
Ryukyu,,,
Sabine's,,,
Sacred,,,
Sad,,,
Saffron,,,
Saffron-billed,,,
Saffron-crested,,,
Saffron-crowned,,,
Sagra's,,,
Sakhalin,,,
San,,,
Sandpiper,,,
Sandwich,,,
Sapphire-spangled,,,
Sapphire-throated,,,
Sapphire-vented,,,
Sardinian,,,
Sarus,,,
Satin,,,
Saunders's,,,
Savi's,,,
Saw-billed,,,
Saw-whet,,,
Say's,,,
Sayaca,,,
Scale-crested,,,
Scale-feathered,,,
Scale-throated,,,
Scaled,,,
Scaly-breasted,,,
Scaly-headed,,,
Scaly-naped,,,
Scaly-throated,,,
Scarlet,,,
Scarlet-backed,,,
Scarlet-bellied,,,
Scarlet-chested,,,
Scarlet-crowned,,,
Scarlet-fronted,,,
Scarlet-headed,,,
Scarlet-rumped,,,
Scarlet-thighed,,,
Schalow's,,,
Schwartz's,,,
Scimitar,,,
Scimitar-billed,,,
Scissor-tailed,,,
Sclater's,,,
Scops,,,
Scott's,,,
Scottish,,,
Screaming,,,
Screech,,,
Semicollared,,,
Semipalmated,,,
Semiplumbeous,,,
Senegal,,,
Sepia-capped,,,
Sharp-billed,,,
Sharp-shinned,,,
Sharp-tailed,,,
Sharpe's,,,
Shining,,,
Shining-green,,,
Shiny,,,
Short-billed,,,
Short-crested,,,
Short-eared,,,
Short-tailed,,,
Short-toed,,,
Shrike,,,
Shy,,,
Siberian,,,
Sibilant,,,
Sick's,,,
Sickle-winged,,,
Sierra,,,
Silky,,,
Silver,,,
Silver-backed,,,
Silver-beaked,,,
Silver-crowned,,,
Silver-eared,,,
Silver-throated,,,
Silvery,,,
Silvery-cheeked,,,
Silvery-throated,,,
Sinaloa,,,
